ID_FA,ID_MetaEdu,Inclusiveness,Met_structure,Metaphor,Literal,Translation (Eng),Met_Topic,Met_Vehicle,Lit_Topic,Length_Met_Topic,Length_Vehicle,Length_Lit_Topic,MEA(M)MetaEdu_Met,MEA(Mdn)MetaEdu_Met,MEA(SD)MetaEdu_Met,DIFF(M)MetaEdu_Met,DIFF(Mdn)MetaEdu_Met,DIFF(SD)MetaEdu_Met,FAM(M)MetaEdu_Met,FAM(Mdn)MetaEdu_Met,FAM(SD)MetaEdu_Met,MEA(M)MetaEdu_Lit,MEA(Mdn)MetaEdu_Lit,MEA(SD)MetaEdu_Lit,DIFF(M)MetaEdu_Lit,DIFF(Mdn)MetaEdu_Lit,DIFF(SD)MetaEdu_Lit,FAM(M)MetaEdu_Lit,FAM(Mdn)MetaEdu_Lit,FAM(SD)MetaEdu_Lit,Cloze13_Met(%),Cloze13_Lit(%),Bambini et al. (2013),Bambini et al. (2016),Canal et al. (2022),Bambini et al. (2024),Lago et al. (2024),IUSS NEPLab MoveMe study,IUSS NEPLab MetaBody study,IUSS NEPLab MetaImagery study,IUSS NEPLab MetaStep study
FA438,met_47,7,Nominal predicative,Anche dopo molti anni i rimproveri dei genitori sono tatuaggi nella memoria.,Nelle culture aborigene i segni sulla pelle sono tatuaggi di iniziazione.,"Even after many years, parents’ scoldings are tattoos in memory.",rimprovero,tatuaggio,segno,10,11,5,"4,161531838",5,"1,209672433","1,512885866",1,"0,720397287","2,16",2,"1,067707825","4,44",5,"1,044030651","1,4",1,"0,7071067812","3,833333333",4,"1,090140265",NA,NA,N,N,N,N,N,N,N,N,N
FA439,met_48,"8,6",Nominal predicative,Per gli animi sensibili le poesie sono sorrisi per il cuore.,Le espressioni più belle sono sorrisi e sguardi sinceri.,"For sensitive souls, poems are smiles for the heart.",poesia,sorriso,espressione,6,12,11,"3,608386897",4,"1,17174918","1,788815891",2,"0,9247165086","2,6",3,"1,08012345","4,24",5,"0,9255628918","1,36",1,"0,6377042157","3,833333333",4,"1,239448218",NA,NA,N,N,N,N,N,N,N,N,Y
FA440,met_49,"8,8",Nominal predicative,I malati di artrosi dicono che le fitte sono coltelli nella carne.,Gli arnesi con manico in legno sono coltelli per conciatori.,Arthritis sufferers say that sharp pains are knives in the flesh.,fitta,coltello,arnese,5,13,6,"4,486869967",5,"0,8914628329","1,75698866",2,"0,782087799","2,4",2,"1,040833","2,96",3,"1,398809017","2,32",2,"1,215181742","1,625",1,"1,013495887",NA,NA,N,N,N,N,N,N,N,N,N
FA441,met_50,"8,4",Nominal predicative,Specialmente in filosofia certe teorie sono palazzi dalle fragili fondamenta.,Nei cantieri di periferia le nuove costruzioni sono palazzi popolari.,"Especially in philosophy, certain theories are buildings with fragile foundations.",teoria,palazzo,costruzione,6,14,11,"4,155658513",5,"1,19123997","1,471283512",1,"0,6612734561","3,28",3,"1,208304597","4,28",4,"0,7916228058","1,68",1,"0,8524474568","4,083333333",4,"0,9743076323",NA,NA,N,N,N,N,N,N,N,N,N
FA442,met_51,"7,6",Nominal predicative,Specialmente in America certe università sono portaerei che trasportano talenti.,Dicono che le imbarcazioni avvistate al largo sono portaerei americane.,"Especially in America, certain universities are aircraft carriers transporting talent.",università,portaerei,imbarcazione,10,15,12,"3,247649599",3,"1,035582661","2,106450938",2,"0,8038680889","1,44",1,"0,7681145748","4,72",5,"0,6782329983","1,32",1,"0,5567764363","3,375",3,"1,345281609",NA,NA,N,N,N,N,N,N,N,N,N
FA443,met_52,"8,2",Nominal predicative,Tutti sanno che le amicizie sono alberi che crescono con il tempo.,I semi piantati nel giardino sono alberi da frutto e arbusti vari.,Everyone knows that friendships are trees that grow over time.,amicizia,albero,seme,8,16,4,"4,401423306",5,"0,9521741215","1,232154724",1,"0,4421101076","3,24",3,"1,090871211","3,16",3,"1,312757911","1,76",2,"0,7234178138","2,833333333",2,"1,493949148",NA,NA,N,N,N,N,N,N,N,N,Y
FA444,met_53,"8,8",Nominal predicative,Se non curati con farmaci specifici certi malditesta sono trapani continui.,Quegli attrezzi in disuso sono trapani che funzionano a batteria.,"If not treated with specific medications, certain headaches are relentless drills.",malditesta,trapano,attrezzo,10,17,8,"4,118086965",4,"1,019408107","1,297684404",1,"0,5807983377","3,16",3,"1,067707825","4,56",5,"0,8205689083","1,32",1,"0,6904105059","2,375",2,"1,013495887",NA,NA,N,N,N,N,N,N,N,N,Y
FA445,met_54,"7,8",Nominal predicative,Nei paesi in via di sviluppo le economie sono bombe ad orologeria.,Nell'attentato alla metropolitana gli esplosivi erano bombe ad orologeria.,"In developing countries, economies are ticking time bombs.",economia,bomba ad orologeria,attentato,8,18,9,"3,720776324",4,"1,098005417","2,303231934",2,"1,131286016","2,48",2,"1,084742673","4,4",5,"1,08012345","1,44",1,"0,7681145748","3,75",4,"1,113162358",NA,NA,N,N,N,N,N,N,N,N,Y
FA446,met_55,"7,8",Nominal predicative,Nella memoria dei popoli le stragi sono cicatrici indelebili.,I segni coperti dal trucco sono cicatrici dovute alle operazioni.,"In the memory of peoples, massacres are indelible scars.",strage,cicatrice,segno,6,19,5,"4,563920217",5,"0,9458554833","1,285251441",1,"0,5394065569","3,92",4,"1,15181017","3,96",5,"1,306394529","2,08",2,"1,115048579","2,958333333",3,"1,267629306",NA,NA,N,N,N,N,N,N,N,N,Y
FA447,met_58,"8,4",Nominal predicative,In certi momenti gli occhi sono oceani di profondità infinita.,In geologia le croste più profonde sono oceani di pietre laviche.,"At certain moments, eyes are oceans of infinite depth.",occhio,oceano,crosta,6,22,6,"3,964222151",4,"1,16092308","1,796227716",2,"1,044019265","3,32",4,"1,144552314","3,16",3,"1,434108318","2,2",2,"0,7637626158","2,458333333","2,5","1,284664283",NA,NA,N,N,N,N,N,N,N,N,Y
FA448,met_60,"6,6",Nominal predicative,Se negative certe amicizie sono virus che infettano il carattere dei giovani.,I parassiti delle piante da frutto sono virus molto pericolosi per tutte le coltivazioni.,"If negative, certain friendships are viruses that infect young people's character.",amicizia,virus,parassita,8,24,9,"4,206424343",5,"1,020556802","1,452827391",1,"0,6447390484","2,4",3,"0,9574271078","3,2",3,"1,443375673","2,04",2,"0,9345230513","2,833333333",3,"1,434563005",NA,NA,N,N,N,N,N,N,N,N,N
FA449,met_61,"8,2",Nominal predicative,Nelle patologie psichiatriche le ossessioni sono gabbie che imprigionano.,I contenitori per rettili sono gabbie metalliche molto resistenti.,"In psychiatric disorders, obsessions are cages that imprison.",ossessione,gabbia,contenitore,10,25,11,"4,200822272",4,"0,954568885","1,825789562",2,"0,7658872939","2,92",3,"1,222020185","4,16",5,"0,9865765725","1,44",1,"0,6506407099","2,833333333",3,"1,340560125",NA,NA,N,N,N,N,N,N,N,N,N
FA450,met_63,"8,4",Nominal predicative,Per alcune persone certi profumi sono chiavi per la porta della memoria.,Nella vecchia ferramenta gli arnesi nascosti sono chiavi da scasso.,"For some people, certain scents are keys to the door of memory.",profumo,chiave,arnese,7,27,6,"4,28",4,"0,8426149773","2,08",2,"0,8621678104","2,362551334",2,"0,8059780514","3,335314865",3,"1,319788536","2,805729036",3,"1,282966612","1,96",2,"0,8888194417",NA,NA,N,N,N,N,N,N,N,N,N
FA451,met_65,8,Nominal predicative,Spesso nella vita le delusioni sono zavorre molto pesanti.,Nelle barche tradizionali i sacchi di sabbia sono zavorre per l'ancoraggio.,"Often in life, disappointments are very heavy burdens.",delusione,zavorra,sacco,9,29,5,"4,16",4,"0,898146239","1,32",1,"0,5567764363","2,963944999",3,"1,267917057","4,336978128",5,"1,095342124","1,484672967",1,"0,9160820278","3,2",3,"1,224744871",NA,NA,N,N,N,N,N,N,N,N,Y
FA452,met_67,"8,6",Nominal predicative,Nel mondo dello spettacolo certe conoscenze sono ascensori per il successo.,Il capocantiere spiega che i montacarichi sono ascensori per i piani alti.,"In the entertainment world, certain connections are elevators to success.",conoscenza,ascensore,montacarico,10,31,11,"4,48",5,"0,6531972647","1,36",1,"0,5686240703","3,766141671",4,"1,149910893","3,765044541",4,"1,289042309","1,85495193",2,"0,9324286181","2,84",3,"1,34412301",NA,NA,N,N,N,N,N,N,N,N,N
FA453,met_68,"8,2",Nominal predicative,Per i soggetti depressi le crisi sono tunnel senza fine.,Le voragini nella montagna sono tunnel scavati dai soldati della Grande Guerra.,"For depressed individuals, crises are tunnels with no end.",crisi,tunnel,voragine,5,32,8,"4,08",4,"0,9539392014","1,84",2,"0,9433981132","4,005996436",4,"1,138751308","4,291561692",5,"1,02518466","1,557297145",1,"0,8717812991","3,64",4,"1,350308607",NA,NA,N,N,N,N,N,N,N,N,N
FA454,met_69,"8,2",Nominal predicative,Nella vita le paure sono nodi che impediscono di andare avanti.,Nelle barche certi lacci sono nodi per bloccare le vele.,"In life, fears are knots that prevent progress.",paura,nodo,laccio,5,33,6,"3,56",4,"1,044030651","1,76",2,"0,7234178138","2,565550052",2,"1,150101042","2,881007386",2,"1,331445245","2,154871252",2,"1,111928689",3,3,"1,224744871",NA,NA,N,N,N,N,N,N,N,N,N
FA455,met_70,"8,4",Nominal predicative,Nei momenti difficili le speranze sono stelle che illuminano l'anima.,Quelle luci nel cielo notturno sono stelle di galassie lontane.,"In difficult moments, hopes are stars that light up the soul.",speranza,stella,luce,8,34,4,"3,56",4,"1,15758369","2,12",2,"1,01324561","2,846004042",3,"1,366706157","4,21325781",5,"1,154415656","1,524477148",1,"0,7674530679","4,16",5,"1,21380943",NA,NA,N,N,N,N,N,N,N,N,N
FA456,met_72,"8,8",Nominal predicative,Nelle società multietniche le lingue sono ponti tra le persone.,Le costruzioni in mattoni sono ponti di collegamento tra le sponde.,"In multi-ethnic societies, languages are bridges between people.",lingua,ponte,costruzione,6,36,11,"3,64",4,"1,150362262","1,92",2,"1,037625494","3,483036554",4,"1,22251448","2,843995932",3,"1,2416715","2,515092608",2,"1,092157865","2,2",2,"1,224744871",NA,NA,N,N,N,N,N,N,N,N,N
FA457,met_73,"8,8",Nominal predicative,Nel caso di alcuni autori certi romanzi sono mappe che aiutano ad orientarsi nella vita.,Nel museo i documenti più preziosi sono mappe in pergamena.,"For certain authors, some novels are maps that help navigate life.",romanzo,mappa,documento,7,37,9,"3,4",4,"1,224744871","2,24",2,"1,051982256","2,688900579",2,"1,395526835","4,68966686",5,"0,8092529134","1,163686315",1,"0,4716399948","3,72",4,"1,1",NA,NA,N,N,N,N,N,N,N,N,N
FA458,met_74,"8,6",Nominal predicative,Specialmente nelle relazioni sentimentali i torti sono crepe nell'anima.,Quei segni sul muro sono crepe formatesi alcuni anni fa.,"Especially in romantic relationships, wrongdoings are cracks in the soul.",torto,crepa,segno,5,38,5,"3,12",3,"1,30128142","2,32",2,"1,029563014","2,415821073",2,"0,9363650615","4,472370117",5,"0,9916847785","1,3788656",1,"0,8339335937","4,32",5,"1,069267662",NA,NA,N,N,N,N,N,N,N,N,N
FA459,met_75,"8,4",Nominal predicative,Nel corso della vita le emozioni sono fulmini che sconvolgono la routine.,Quei bagliori in lontananza sono fulmini che preannunciano tuoni e tempesta.,"Over the course of life, emotions are lightning bolts that disrupt routine.",emozione,fulmine,bagliore,8,39,8,"3,48",4,"1,194431524","1,72",2,"0,6782329983","2,957454602",3,"1,402577039","4,519667391",5,"0,9639027773","1,393357344",1,"0,650619194","4,2",5,"1,08012345",NA,NA,N,N,N,N,N,N,N,N,N
FA460,met_76,"8,6",Nominal predicative,Quando c'è diffidenza i segreti sono muri tra le persone.,Negli alberghi di bassa categoria i divisori tra camere sono muri in calcestruzzo.,"When there is distrust, secrets are walls between people.",segreto,muro,albergo,7,40,7,"3,68",4,"1,029563014","2,12",2,"0,9273618495","3,096103082",3,"1,230190789","3,758556111",4,"1,48268489","1,586024768",1,"0,9250324597","3,12",4,"1,332916602",NA,NA,N,N,N,N,N,N,N,N,Y
FA461,met_77,"8,2",Nominal predicative,In politica e nel commercio certi discorsi sono fiumi che travolgono.,In America del Sud molti canali sono fiumi navigabili.,"In politics and commerce, certain speeches are rivers that overwhelm.",discorso,fiume,canale,8,41,6,"2,96",3,"1,019803903","2,28",2,"0,9797958971","2,689207632",2,"1,395191553","2,939307396",3,"1,228314484","2,237001298",2,"0,9736382548","3,32",3,"1,31402689",NA,NA,N,N,N,N,N,N,N,N,N
FA462,met_78,"7,8",Nominal predicative,Nella società umana i rapporti sono corde che ci legano agli altri.,In magazzino le trecce in canapa sono corde che servono per legare i sacchi.,"In human society, relationships are ropes that bind us to others.",rapporto,corda,treccia,8,42,7,"3,92",4,"0,9539392014","1,8",2,"1,040833","3,375807662",4,"1,291714384","3,529132579",4,"1,063393495","1,99894553",2,"0,9585881683","2,6",3,"1,224744871",NA,NA,N,N,N,N,N,N,N,N,N
FA463,met_79,"8,8",Nominal predicative,Senza il perdono i rancori sono tarli che divorano l'anima.,Quegli insetti nell'angolo del muro sono tarli che aggrediscono legno.,"Without forgiveness, grudges are worms that devour the soul.",rancore,tarlo,insetto,7,43,7,"3,92",4,"1,077032961","1,8",2,"0,8164965809","3,291668575",3,"1,254848527","3,96253574",4,"1,091416673","1,758343527",1,"1,235323715","3,6",4,"1,190238071",NA,NA,N,N,N,N,N,N,N,N,N
FA464,met_80,8,Nominal predicative,Negli animi fragili le tentazioni sono reti molto pericolose.,Quei fili sottili sono reti per catturare pesci piccoli.,"In fragile souls, temptations are very dangerous nets.",tentazione,rete,filo,10,44,4,"3,4",3,"1,258305739","2,68",2,"0,9451631253","2,930193941",3,"1,097795737","3,603656667",4,"1,28343056","2,129412949",2,"1,083321225","3,16",3,"1,434108318",NA,NA,N,N,N,N,N,N,N,N,N
